[jaguar_mamiraua] Epoch   0 | Loss: 68471648.0000 | Train MAE: 2982.5327 | Train RMSE: 8272.9767 | Train MAPE: 123.15%
[jaguar_mamiraua] Epoch  20 | Loss: 68117208.0000 | Train MAE: 3052.7083 | Train RMSE: 8253.4948 | Train MAPE: 2507.61%
[jaguar_mamiraua] Epoch  40 | Loss: 68107696.0000 | Train MAE: 3067.0317 | Train RMSE: 8252.7072 | Train MAPE: 3301.51%
[jaguar_mamiraua] Epoch  60 | Loss: 68102272.0000 | Train MAE: 3069.2446 | Train RMSE: 8252.3892 | Train MAPE: 3958.90%
[jaguar_mamiraua] Epoch  80 | Loss: 68093816.0000 | Train MAE: 3071.7803 | Train RMSE: 8251.8672 | Train MAPE: 5641.14%
[jaguar_mamiraua] Epoch  99 | Loss: 68087040.0000 | Train MAE: 3073.7314 | Train RMSE: 8251.4663 | Train MAPE: 7902.67%
[jaguar_mamiraua] Epoch   0 | Loss: 68455472.0000 | Train MAE: 3011.7493 | Train RMSE: 8261.6047 | Train MAPE: 908.58%
[jaguar_mamiraua] Epoch  20 | Loss: 68110000.0000 | Train MAE: 3075.9949 | Train RMSE: 8252.9583 | Train MAPE: 3402.49%
[jaguar_mamiraua] Epoch  40 | Loss: 68105616.0000 | Train MAE: 3067.9248 | Train RMSE: 8252.6049 | Train MAPE: 3426.17%
[jaguar_mamiraua] Epoch  60 | Loss: 68099128.0000 | Train MAE: 3070.6458 | Train RMSE: 8252.1900 | Train MAPE: 4482.75%
[jaguar_mamiraua] Epoch  80 | Loss: 68091272.0000 | Train MAE: 3073.7073 | Train RMSE: 8251.6810 | Train MAPE: 6636.52%
[jaguar_mamiraua] Epoch  99 | Loss: 68085808.0000 | Train MAE: 3075.1929 | Train RMSE: 8251.3868 | Train MAPE: 8947.17%
[jaguar_mamiraua] Epoch   0 | Loss: 68442288.0000 | Train MAE: 2982.5154 | Train RMSE: 8272.9854 | Train MAPE: 121.77%
[jaguar_mamiraua] Epoch  20 | Loss: 68442288.0000 | Train MAE: 2982.5154 | Train RMSE: 8272.9854 | Train MAPE: 121.77%
[jaguar_mamiraua] Epoch  40 | Loss: 68442288.0000 | Train MAE: 2982.5154 | Train RMSE: 8272.9854 | Train MAPE: 121.77%
[jaguar_mamiraua] Epoch  60 | Loss: 68442288.0000 | Train MAE: 2982.5154 | Train RMSE: 8272.9854 | Train MAPE: 121.77%
[jaguar_mamiraua] Epoch  80 | Loss: 68442288.0000 | Train MAE: 2982.5154 | Train RMSE: 8272.9854 | Train MAPE: 121.77%
[jaguar_mamiraua] Epoch  99 | Loss: 68442288.0000 | Train MAE: 2982.5154 | Train RMSE: 8272.9854 | Train MAPE: 121.77%
[jaguar_mamiraua] Epoch   0 | Loss: 68355752.0000 | Train MAE: 3016.9807 | Train RMSE: 8260.0344 | Train MAPE: 1175.51%
[jaguar_mamiraua] Epoch  20 | Loss: 68108888.0000 | Train MAE: 3074.4541 | Train RMSE: 8252.8715 | Train MAPE: 3371.51%
[jaguar_mamiraua] Epoch  40 | Loss: 68104656.0000 | Train MAE: 3071.4094 | Train RMSE: 8252.5249 | Train MAPE: 3648.77%
[jaguar_mamiraua] Epoch  60 | Loss: 68099256.0000 | Train MAE: 3070.3452 | Train RMSE: 8252.2104 | Train MAPE: 4563.98%
[jaguar_mamiraua] Epoch  80 | Loss: 68089232.0000 | Train MAE: 3071.5740 | Train RMSE: 8251.5773 | Train MAPE: 6981.88%
[jaguar_mamiraua] Epoch  99 | Loss: 68081136.0000 | Train MAE: 3078.2578 | Train RMSE: 8251.1008 | Train MAPE: 10932.80%
[tangara_mata_atlantica] Epoch   0 | Loss: 3436.8181 | Train MAE: 5.2996 | Train RMSE: 58.5787 | Train MAPE: 2145.51%
[tangara_mata_atlantica] Epoch  20 | Loss: 3430.3093 | Train MAE: 5.5694 | Train RMSE: 58.5688 | Train MAPE: 2385.25%
[tangara_mata_atlantica] Epoch  40 | Loss: 3429.2126 | Train MAE: 5.7666 | Train RMSE: 58.5594 | Train MAPE: 2550.49%
[tangara_mata_atlantica] Epoch  60 | Loss: 3428.2026 | Train MAE: 5.8316 | Train RMSE: 58.5505 | Train MAPE: 2606.05%
[tangara_mata_atlantica] Epoch  80 | Loss: 3426.7324 | Train MAE: 5.8588 | Train RMSE: 58.5369 | Train MAPE: 2635.50%
[tangara_mata_atlantica] Epoch  99 | Loss: 3424.1304 | Train MAE: 5.7606 | Train RMSE: 58.5153 | Train MAPE: 2557.72%
